1686881604.5429373	1
1686881605.5673833	1
1686881606.6023865	0
1686881607.6061587	0
1686881608.6114764	0
1686881609.6150296	0
1686881610.6177592	1
1686881611.619931	1
1686881612.6249626	1
1686881613.6311984	0
1686881614.6332955	1
1686881615.63429	0
1686881616.6353576	0
1686881617.637011	1
1686881618.639801	1
1686881619.641584	1
1686881620.642994	1
1686881621.649634	1
1686881622.6504433	1
1686881623.6520612	1
1686881624.6535985	0
1686881625.655406	0
1686881626.6572933	1
1686881627.6596928	0
1686881628.6608262	1
1686881629.6643498	0
1686881630.6666827	1
1686881631.6689274	1
1686881632.669756	0
1686881633.671819	1
